,Oligo,eL2/3,eL4,eL5,eL6
x34y363,0.0,0.0,0.0,0.6197367514809501,0.38026324851904986
x7034y363,0.7136771541703151,0.0,0.2863228458296849,0.0,0.0
x10034y363,1.0,0.0,0.0,0.0,0.0
x34y863,0.6490333162390713,0.19046416492790116,0.0,0.0,0.1605025188330275
x7034y863,0.0,0.0,0.0,1.0,0.0
x7534y863,0.0,0.0,0.0,0.0,1.0
x8034y863,0.0,0.0,0.0,1.0,0.0
x8534y863,1.0,0.0,0.0,0.0,0.0
x9534y863,0.0,0.0,0.0,1.0,0.0
x10534y863,0.8736512091202717,0.0,0.0,0.1263487908797282,0.0
x34y1363,0.265560385726464,0.0,0.0,0.734439614273536,0.0
x534y1363,1.0,0.0,0.0,0.0,0.0
x1534y1363,0.0,0.0,0.0,1.0,0.0
x4534y1363,0.12449133651604757,0.0,0.0,0.8755086634839524,0.0
x5534y1363,0.0,0.0,0.30141457091249924,0.6985854290875007,0.0
x6034y1363,0.7729275662381236,0.0,0.0,0.22707243376187633,0.0
x7034y1363,1.0,0.0,0.0,0.0,0.0
x8534y1363,1.0,0.0,0.0,0.0,0.0
x9534y1363,1.0,0.0,0.0,0.0,0.0
x10034y1363,1.0,0.0,0.0,0.0,0.0
x10534y1363,1.0,0.0,0.0,0.0,0.0
x34y1863,1.0,0.0,0.0,0.0,0.0
x534y1863,0.563439722806559,0.4365602771934411,0.0,0.0,0.0
x1034y1863,1.0,0.0,0.0,0.0,0.0
x1534y1863,0.7191397534944314,0.28086024650556857,0.0,0.0,0.0
x2034y1863,0.8800964218480947,0.11990357815190537,0.0,0.0,0.0
x4534y1863,1.0,0.0,0.0,0.0,0.0
x5034y1863,1.0,0.0,0.0,0.0,0.0
x5534y1863,1.0,0.0,0.0,0.0,0.0
x6034y1863,1.0,0.0,0.0,0.0,0.0
x6534y1863,1.0,0.0,0.0,0.0,0.0
x7034y1863,1.0,0.0,0.0,0.0,0.0
x7534y1863,0.9252620505636137,0.07473794943638638,0.0,0.0,0.0
x8034y1863,1.0,0.0,0.0,0.0,0.0
x8534y1863,1.0,0.0,0.0,0.0,0.0
x9034y1863,1.0,0.0,0.0,0.0,0.0
x9534y1863,1.0,0.0,0.0,0.0,0.0
x10034y1863,1.0,0.0,0.0,0.0,0.0
x10534y1863,1.0,0.0,0.0,0.0,0.0
x34y2363,1.0,0.0,0.0,0.0,0.0
x534y2363,1.0,0.0,0.0,0.0,0.0
x1034y2363,1.0,0.0,0.0,0.0,0.0
x1534y2363,1.0,0.0,0.0,0.0,0.0
x2034y2363,1.0,0.0,0.0,0.0,0.0
x2534y2363,0.0775036380274496,0.23537028929743206,0.0,0.6871260726751184,0.0
