,Oligo,eL2/3,eL4,eL5,eL6
x34y363,0.23179942086259064,0.0,0.24077835751755272,0.0,0.5274222216198566
x7034y363,0.17208641267134522,0.37907443581140915,0.0,0.3273562966227008,0.12148285489454473
x10034y363,0.22755703613140854,0.05315840437177854,0.0,0.3352427933209949,0.3840417661758179
x34y863,0.5523775887484128,0.0,0.0,0.17799600928458553,0.26962640196700177
x7034y863,0.0,0.0,0.0,0.8819295932142017,0.11807040678579832
x7534y863,0.0,0.0,0.0,0.8547722188852933,0.14522778111470663
x8034y863,0.0,0.0,0.0,0.6568174854357105,0.34318251456428944
x8534y863,0.6576241729541283,0.05284598812320165,0.0,0.17227404133403695,0.11725579758863316
x9534y863,0.0,0.0,0.0,0.5509368182177594,0.44906318178224053
x10534y863,0.8999804050597275,0.0,0.0,0.10001959494027253,0.0
x34y1363,0.415808552710044,0.0,0.2699825343960403,0.3142089128939157,0.0
x534y1363,0.9419282305991669,0.05807176940083316,0.0,0.0,0.0
x1534y1363,0.0,0.0,0.0,0.7796372494283894,0.22036275057161053
x4534y1363,0.0,0.0,0.19795678462437405,0.8020432153756261,0.0
x5534y1363,0.02064932958077169,0.0,0.0,0.9793506704192283,0.0
x6034y1363,0.5098636596367316,0.0,0.0,0.4901363403632684,0.0
x7034y1363,0.7295334698978789,0.0,0.03610750742537913,0.23435902267674197,0.0
x8534y1363,0.9450404653337189,0.0,0.0,0.05495953466628108,0.0
x9534y1363,0.7185423315135253,0.0,0.09999227061655445,0.0,0.18146539786992022
x10034y1363,0.8900393639917678,0.0,0.0,0.0,0.10996063600823222
x10534y1363,0.8648878743680132,0.0,0.03487244300081769,0.10023968263116916,0.0
x34y1863,0.9741700885546828,0.0,0.02582991144531721,0.0,0.0
x534y1863,0.815638428749854,0.05157190598910128,0.13278966526104463,0.0,0.0
x1034y1863,1.0,0.0,0.0,0.0,0.0
x1534y1863,0.7743254654625674,0.0,0.03612612059783546,0.11538432511727369,0.07416408882232337
x2034y1863,0.772447445995549,0.0,0.026299402685539125,0.06971867379691138,0.1315344775220004
x4534y1863,0.984896039125196,0.0,0.015103960874804125,0.0,0.0
x5034y1863,0.8131245371364488,0.020733090674771127,0.046767714024229676,0.0,0.11937465816455035
x5534y1863,0.9672878302326777,0.03271216976732232,0.0,0.0,0.0
x6034y1863,1.0,0.0,0.0,0.0,0.0
x6534y1863,1.0,0.0,0.0,0.0,0.0
x7034y1863,0.7558341224065009,0.0,0.07174379661644774,0.1724220809770515,0.0
x7534y1863,0.6495053205767938,0.0,0.19399373883379784,0.0,0.1565009405894083
x8034y1863,0.9192072561257508,0.0,0.0,0.08079274387424917,0.0
x8534y1863,0.9053557385521782,0.0,0.04517162006538987,0.0,0.04947264138243192
x9034y1863,0.9286666200815932,0.0,0.0,0.07133337991840687,0.0
x9534y1863,0.8835225735323964,0.0,0.11647742646760358,0.0,0.0
x10034y1863,0.9705788442841093,0.02942115571589063,0.0,0.0,0.0
